rssd_id,banks,city,state,consol_assets_bn
2954059,BCB CMNTY BK,BAYONNE,New Jersey,2.8
413141,FIRST NB AMER,EAST LANSING,Michigan,2.8
542528,CIVISTA BK,SANDUSKY,Ohio,2.8
278818,PEOPLES SCTY B&TC,SCRANTON,Pennsylvania,2.8
243375,GREEN DOT BK,PROVO,Utah,2.8
1001639,PARKWAY B&TC,HARWOOD HEIGHTS,Illinois,2.8
342410,ORRSTOWN BK,SHIPPENSBURG,Pennsylvania,2.8
139740,WEST BK,WEST DES MOINES,Iowa,2.8
995076,CACHE VALLEY BK,LOGAN,Utah,2.8
826956,CHOICE FNCL GRP,FARGO,North Dakota,2.7
584920,FIDELITY BK,FUQUAY VARINA,North Carolina,2.7
613950,DBA FIRST CONVENIENCE BK,KILLEEN,Texas,2.7
900306,NORTHERN B&TC,WOBURN,Massachusetts,2.7
2132941,NATIONAL BK OF INDIANAPOLIS,INDIANAPOLIS,Indiana,2.7
112163,GUARANTY B&TC NA,MOUNT PLEASANT,Texas,2.7
2044811,WHEATON B&TC NA,WHEATON,Illinois,2.7
375034,WEST SUBURBAN BK,LOMBARD,Illinois,2.6
594947,BANK FIRST NA,MANITOWOC,Wisconsin,2.6
1216826,SILVERGATE BK,LA JOLLA,California,2.6
779351,MERCHANTS BK NA,WINONA,Minnesota,2.6
537449,FIRST BUS BK,MADISON,Wisconsin,2.6
547840,STAR FNCL BK,FORT WAYNE,Indiana,2.6
9807,AMBOY BK,OLD BRIDGE,New Jersey,2.5
273336,BANK OF TAMPA,TAMPA,Florida,2.5
842460,LONE STAR NB,PHARR,Texas,2.5
272272,SOUTHERN BK,POPLAR BLUFF,Missouri,2.5
422433,FIRST GUARANTY BK,HAMMOND,Louisiana,2.5
2634351,MACATAWA BK,HOLLAND,Michigan,2.5
1001648,CARROLLTON BK,CARROLLTON,Illinois,2.5
2743244,RED RIVER BK,ALEXANDRIA,Louisiana,2.5
5210,ACNB BK,GETTYSBURG,Pennsylvania,2.5
2849801,SOUTHERN FIRST BK,GREENVILLE,South Carolina,2.5
26765,VANTAGE BK TX,SAN ANTONIO,Texas,2.5
330855,BANK OF MO,PERRYVILLE,Missouri,2.4
299046,CENTRAL BK OF BOONE CTY,COLUMBIA,Missouri,2.4
433608,TOMPKINS TC,ITHACA,New York,2.4
722544,NATIONAL EXCHANGE B&T,FOND DU LAC,Wisconsin,2.4
535753,ACADEMY BK NA,KANSAS CITY,Missouri,2.3
895710,CITIZENS & NORTHERN BK,WELLSBORO,Pennsylvania,2.3
455972,PEOPLES BK,BELLINGHAM,Washington,2.3
976703,BESSEMER TC NA,NEW YORK,New York,2.3
1447639,WESTSTAR BK,EL PASO,Texas,2.3
77851,FIRST B&T,BROOKINGS,South Dakota,2.3
657459,MIDWEST BANKCENTRE,SAINT LOUIS,Missouri,2.3
671334,REPUBLIC BK OF CHICAGO,OAK BROOK,Illinois,2.3
725732,BAC FL BK,CORAL GABLES,Florida,2.3
439404,FIRST NB,DAMARISCOTTA,Maine,2.3
223322,FIRST B&TC,LEBANON,Virginia,2.2
506249,CENTRAL BK OF ST LOUIS,CLAYTON,Missouri,2.2
160959,KS STATEBANK,MANHATTAN,Kansas,2.2
502849,BANTERRA BK,MARION,Illinois,2.2
45560,JEFFERSON BK,SAN ANTONIO,Texas,2.2
2142155,QUAD CITY B&TC,BETTENDORF,Iowa,2.2
2390929,BANK ANN ARBOR,ANN ARBOR,Michigan,2.2
302656,MINNWEST BK,REDWOOD FALLS,Minnesota,2.2
543262,DL EVANS BK,BURLEY,Idaho,2.2
2757205,MVB BK INC,FAIRMONT,West Virginia,2.2
141556,STEARNS BK NA,SAINT CLOUD,Minnesota,2.2
548351,AUSTIN BK TX NA,JACKSONVILLE,Texas,2.2
884303,CHEMUNG CANAL TC,ELMIRA,New York,2.2
697978,COMMUNITY BK OF THE CHESAPEAKE,WALDORF,Maryland,2.1
384018,WOORI AMER BK,NEW YORK,New York,2.1
106359,FIRST FIDELITY BK,OKLAHOMA CITY,Oklahoma,2.1
556815,PEOPLES BK A CODORUS VALLEY CO,YORK,Pennsylvania,2.1
470452,ARMSTRONG BK,MUSKOGEE,Oklahoma,2.1
538802,INTERAUDI BK,NEW YORK,New York,2.1
594433,CB&S BK,RUSSELLVILLE,Alabama,2.1
2298995,VILLAGE B&TC NA,ARLINGTON HEIGHTS,Illinois,2.1
139843,FIRST FARMERS B&TC,CONVERSE,Indiana,2.1
201834,LAKESIDE BK,CHICAGO,Illinois,2.1
1718188,NORTHRIM BK,ANCHORAGE,Alaska,2.1
65858,EMPRISE BK,WICHITA,Kansas,2.1
2764212,PARKE BK,SEWELL,New Jersey,2.1
2867337,FIVE STAR BK,ROSEVILLE,California,2.1
2694681,AMERICAN FNB,HOUSTON,Texas,2
2339795,LIBERTYVILLE B&TC NA,LIBERTYVILLE,Illinois,2
292908,EVANS BK NA,ANGOLA,New York,2
928421,CITIZENS & FARMERS BK,WEST POINT,Virginia,2
2649122,NEW MEXICO B&TC,ALBUQUERQUE,New Mexico,2
441256,FIRST DAKOTA NB,YANKTON,South Dakota,2
678717,VIST BK,WYOMISSING,Pennsylvania,2
133850,FIRST CITIZENS NB,DYERSBURG,Tennessee,2
751656,FRANDSEN B&T,LONSDALE,Minnesota,2
140362,SUNWEST BK,IRVINE,California,2
625654,COUNTRY CLUB BK,KANSAS CITY,Missouri,2
786210,TRADITIONAL BK,MOUNT STERLING,Kentucky,2
703767,CENTRAL VALLEY CMNTY BK,FRESNO,California,2
574976,CASHMERE VALLEY BK,CASHMERE,Washington,1.9
807955,AMERICAN BK NA,CORPUS CHRISTI,Texas,1.9
804338,FIRST BK HIGHLAND PARK,HIGHLAND PARK,Illinois,1.9
1459717,FCB BKS,COLLINSVILLE,Illinois,1.9
24668,BTH BK NA,QUITMAN,Texas,1.9
1890525,UNITY BK,CLINTON,New Jersey,1.9
74140,ISABELLA BK,MOUNT PLEASANT,Michigan,1.9
539032,BANK INDEP,SHEFFIELD,Alabama,1.9
2746263,FIRSTCAPITAL BK OF TX NA,MIDLAND,Texas,1.9
514066,MONTECITO B&T,SANTA BARBARA,California,1.9
978118,FIRST CITIZENS CMNTY BK,MANSFIELD,Pennsylvania,1.9
403151,CORNERSTONE BK,YORK,Nebraska,1.9
738040,UNITED BK IA,IDA GROVE,Iowa,1.9
2808602,CAPITAL BANK NA,ROCKVILLE,Maryland,1.8
1412619,1ST CONSTITUTION BK,CRANBURY,New Jersey,1.8
59316,WAYNE BK,HONESDALE,Pennsylvania,1.8
273662,FIRST ST BK,UVALDE,Texas,1.8
642549,DUBUQUE B&TC,DUBUQUE,Iowa,1.8
933023,SHORE UNITED BK,EASTON,Maryland,1.8
1494914,SHINHAN BK AMER,NEW YORK,New York,1.8
971959,AMERICAN BK CTR,DICKINSON,North Dakota,1.8
214414,FARMERS & MRCH ST BK,ARCHBOLD,Ohio,1.8
12946,FARMERS B&TC,MAGNOLIA,Arkansas,1.8
716833,MARQUETTE BK,CHICAGO,Illinois,1.8
24006,PCSB BK,YORKTOWN HEIGHTS,New York,1.8
245016,HABIB AMER BK,NEW YORK,New York,1.8
537560,EXTRACO BKS NA,TEMPLE,Texas,1.8
37435,UNITED BK,ZEBULON,Georgia,1.8
42448,FIRST NB,PARAGOULD,Arkansas,1.8
428547,ST CHARLES B&TC NA,SAINT CHARLES,Illinois,1.8
165806,BANK OF CASTILE,CASTILE,New York,1.8
933975,BANK OF UT,OGDEN,Utah,1.8
397540,FIRST NB OF FORT SMITH,FORT SMITH,Arkansas,1.8
2913887,SELECT B&TC,DUNN,North Carolina,1.8
491934,COLONY BK,FITZGERALD,Georgia,1.8
2562164,COASTAL CMNTY BK,EVERETT,Washington,1.7
674849,LUANA SVG BK,LUANA,Iowa,1.7
933863,MERCHANTS BK OF CMRC,REDDING,California,1.7
