rssd_id,portfolio,Peer,state,present,peer_rssd_id,Assets,color,Size,loc_x,loc_y,name
412751,Comm. & Industrial,bank3,Illinois,1,1917301,5,#1900ff,6,-27,37,LAKE FOREST B&TC NA
413141,Comm. & Industrial,bank0,Michigan,2,413141,2,#000000,10,-8,16,FIRST NB AMER
413141,Comm. & Industrial,bank1,Utah,1,933975,1,#fffb00,6,-110,35,BANK OF UT
413141,Comm. & Industrial,bank2,Pennsylvania,1,1007819,1,#ff00ff,6,15,30,FIDELITY DEPOSIT & DISCOUNT BK
413141,Comm. & Industrial,bank3,Michigan,1,2737980,3,#1900ff,12,-12,20,NORTHPOINTE BK
413208,Comm. & Industrial,bank0,Virginia,2,413208,202,#000000,12,15,42,HSBC BK USA NA
413208,Comm. & Industrial,bank1,Texas,1,60143,83,#fffb00,6,-60,60,COMERICA BK
413208,Comm. & Industrial,bank2,New York,1,501105,138,#ff00ff,10,28,18,MANUFACTURERS & TRADERS TC
413208,Comm. & Industrial,bank3,Utah,1,1394676,134,#1900ff,8,-110,35,AMERICAN EXPRESS NB
416245,Comm. & Industrial,bank0,Illinois,2,416245,10,#000000,8,-27,37,BUSEY BK
416245,Comm. & Industrial,bank1,New York,1,23504,6,#fffb00,6,28,18,BNB BK
416245,Comm. & Industrial,bank2,Texas,1,637451,13,#ff00ff,12,-60,60,PLAINSCAPITAL BK
416245,Comm. & Industrial,bank3,New York,1,702117,10,#1900ff,8,20,20,NBT BK NA
422433,Comm. & Industrial,bank0,Louisiana,2,422433,2,#000000,8,-40,60,FIRST GUARANTY BK
422433,Comm. & Industrial,bank1,Ohio,1,680813,2,#fffb00,8,-5,35,FARMERS NB
422433,Comm. & Industrial,bank2,West Virginia,1,1011526,5,#ff00ff,12,5,40,CITY NB OF WV
422433,Comm. & Industrial,bank3,Maryland,1,2808602,1,#1900ff,6,22,38,CAPITAL BANK NA
426534,Comm. & Industrial,bank0,Illinois,2,426534,3,#000000,8,-27,37,HEARTLAND B&TC
426534,Comm. & Industrial,bank1,Illinois,1,439338,3,#fffb00,8,-23,33,UNITED CMNTY BK
426534,Comm. & Industrial,bank2,Ohio,1,542528,2,#ff00ff,6,-5,35,CIVISTA BK
426534,Comm. & Industrial,bank3,Florida,1,663834,4,#1900ff,12,0,63,OCEAN BK
428547,Comm. & Industrial,bank0,Illinois,2,428547,1,#000000,6,-27,37,ST CHARLES B&TC NA
428547,Comm. & Industrial,bank1,Mississippi,1,460033,3,#fffb00,10,-28,53,COMMUNITY BK OF MS
428547,Comm. & Industrial,bank2,California,1,871769,9,#ff00ff,12,-145,40,FARMERS & MRCH BK
428547,Comm. & Industrial,bank3,Illinois,1,936136,2,#1900ff,8,-23,33,OLD SECOND NB
433608,Comm. & Industrial,bank0,New York,2,433608,2,#000000,10,28,18,TOMPKINS TC
433608,Comm. & Industrial,bank1,Oklahoma,1,470452,2,#fffb00,10,-55,46,ARMSTRONG BK
433608,Comm. & Industrial,bank2,New York,1,866000,2,#ff00ff,10,20,20,GLENS FALLS NB&TC
433608,Comm. & Industrial,bank3,North Dakota,1,971959,1,#1900ff,6,-65,2,AMERICAN BK CTR
436159,Comm. & Industrial,bank0,Tennessee,2,436159,11,#000000,10,-15,47,FIRSTBANK
436159,Comm. & Industrial,bank1,North Dakota,1,929352,8,#fffb00,6,-65,2,BELL BK
436159,Comm. & Industrial,bank2,California,1,933966,13,#ff00ff,12,-145,40,CITIZENS BUS BK
436159,Comm. & Industrial,bank3,Maryland,1,2652092,10,#1900ff,8,22,38,EAGLEBANK
439338,Comm. & Industrial,bank0,Illinois,2,439338,3,#000000,8,-27,37,UNITED CMNTY BK
439338,Comm. & Industrial,bank1,Illinois,1,426534,3,#fffb00,8,-23,33,HEARTLAND B&TC
439338,Comm. & Industrial,bank2,Ohio,1,542528,2,#ff00ff,6,-5,35,CIVISTA BK
439338,Comm. & Industrial,bank3,Florida,1,663834,4,#1900ff,12,0,63,OCEAN BK
439404,Comm. & Industrial,bank0,Maine,2,439404,2,#000000,6,50,10,FIRST NB
439404,Comm. & Industrial,bank1,New York,1,837000,4,#fffb00,12,28,18,FIRST NB OF LONG ISLAND
439404,Comm. & Industrial,bank2,Missouri,1,853952,3,#ff00ff,8,-38,38,CENTRAL TR BK
439404,Comm. & Industrial,bank3,Kansas,1,1009354,3,#1900ff,8,-60,38,SECURITY BK OF KANSAS CITY
441256,Comm. & Industrial,bank0,South Dakota,2,441256,2,#000000,8,-65,15,FIRST DAKOTA NB
441256,Comm. & Industrial,bank1,Oklahoma,1,106359,2,#fffb00,8,-55,46,FIRST FIDELITY BK
441256,Comm. & Industrial,bank2,Maine,1,522605,3,#ff00ff,12,50,10,BAR HARBOR BK & TR CO
441256,Comm. & Industrial,bank3,California,1,703767,1,#1900ff,6,-145,40,CENTRAL VALLEY CMNTY BK
450856,Comm. & Industrial,bank0,Nebraska,2,450856,5,#000000,8,-70,27,UNION B&TC
450856,Comm. & Industrial,bank1,New York,1,202907,13,#fffb00,12,28,18,COMMUNITY BK NA
450856,Comm. & Industrial,bank2,Hawaii,1,701062,6,#ff00ff,10,-160,50,CENTRAL PACIFIC BK
450856,Comm. & Industrial,bank3,Illinois,1,2298995,2,#1900ff,6,-27,37,VILLAGE B&TC NA
451965,Comm. & Industrial,bank0,South Dakota,2,451965,1750,#000000,10,-65,15,WELLS FARGO BK NA
451965,Comm. & Industrial,bank1,Ohio,1,504713,530,#fffb00,8,-5,35,U S BK NA
451965,Comm. & Industrial,bank2,Delaware,1,817824,457,#ff00ff,6,28,38,PNC BK NA
451965,Comm. & Industrial,bank3,Ohio,1,852218,2869,#1900ff,12,2,30,JPMORGAN CHASE BK NA
455972,Comm. & Industrial,bank0,Washington,2,455972,2,#000000,10,-138,0,PEOPLES BK
455972,Comm. & Industrial,bank1,Maryland,1,61122,1,#fffb00,6,22,38,FIRST UNITED B&TR
455972,Comm. & Industrial,bank2,New York,1,165806,1,#ff00ff,6,28,18,BANK OF CASTILE
455972,Comm. & Industrial,bank3,Missouri,1,853952,3,#1900ff,12,-38,38,CENTRAL TR BK
456045,Comm. & Industrial,bank0,Arkansas,2,456045,16,#000000,10,-42,48,CENTENNIAL BK
456045,Comm. & Industrial,bank1,Massachusetts,1,35301,268,#fffb00,12,38,23,STATE STREET B&TC
456045,Comm. & Industrial,bank2,Mississippi,1,342634,15,#ff00ff,8,-28,53,TRUSTMARK NB
456045,Comm. & Industrial,bank3,Massachusetts,1,473501,12,#1900ff,6,42,27,BERKSHIRE BK
460033,Comm. & Industrial,bank0,Mississippi,2,460033,3,#000000,10,-28,53,COMMUNITY BK OF MS
460033,Comm. & Industrial,bank1,Illinois,1,428547,1,#fffb00,6,-27,37,ST CHARLES B&TC NA
460033,Comm. & Industrial,bank2,Illinois,1,936136,2,#ff00ff,8,-23,33,OLD SECOND NB
460033,Comm. & Industrial,bank3,New York,1,2736291,10,#1900ff,12,28,18,POPULAR BK
463735,Comm. & Industrial,bank0,Mississippi,2,463735,33,#000000,8,-28,53,HANCOCK WHITNEY BK
463735,Comm. & Industrial,bank1,Texas,1,682563,40,#fffb00,10,-60,60,FROST BK
463735,Comm. & Industrial,bank2,Missouri,1,936855,30,#ff00ff,6,-38,38,UMB BK NA
463735,Comm. & Industrial,bank3,Virginia,1,2253891,111,#1900ff,12,15,42,CAPITAL ONE BK USA NA
466857,Comm. & Industrial,bank0,Texas,2,466857,5,#000000,10,-60,60,HAPPY ST BK
466857,Comm. & Industrial,bank1,North Dakota,1,826956,2,#fffb00,6,-65,2,CHOICE FNCL GRP
466857,Comm. & Industrial,bank2,Massachusetts,1,964700,9,#ff00ff,12,38,23,BOSTON PRIVATE B&TC
466857,Comm. & Industrial,bank3,Illinois,1,2044811,2,#1900ff,6,-27,37,WHEATON B&TC NA
470050,Comm. & Industrial,bank0,Texas,2,470050,10,#000000,10,-60,60,FIRST FNCL BK NA
470050,Comm. & Industrial,bank1,New Jersey,1,35570,26,#fffb00,12,28,35,INVESTORS BK
470050,Comm. & Industrial,bank2,Ohio,1,489623,9,#ff00ff,8,-5,35,PARK NB
470050,Comm. & Industrial,bank3,Illinois,1,2119773,3,#1900ff,6,-27,37,HINSDALE B&TC NA
