date,rssd_id,product,chg_b,chg_s,rolling9q_b,rolling9q_s
2021-06-30,12311,Comm. & Industrial,63591.21723,80298.32899,23.88281591,25.05495561
2021-09-30,12311,Comm. & Industrial,53242.03314,75188.36174,24.80100682,26.89653002
2021-12-31,12311,Comm. & Industrial,47268.46438,72415.239,24.15695004,27.26293497
2022-03-31,12311,Comm. & Industrial,41468.97978,69204.02689,24.10851765,28.27532983
2022-06-30,12311,Comm. & Industrial,37901.12284,67872.8654,21.7692749,27.06235823
2022-09-30,12311,Comm. & Industrial,34645.95768,66735.18019,19.70194626,26.20142565
2022-12-31,12311,Comm. & Industrial,32419.29728,61464.44836,18.04293449,25.57326395
2023-03-31,12311,Comm. & Industrial,31041.58456,56589.58097,15.75203087,24.13485743
2023-06-30,12311,Comm. & Industrial,29473.83474,52068.94798,14.0341644,22.76303031
2023-09-30,12311,Comm. & Industrial,28131.84127,47428.90726,12.48374411,21.16505097
2023-12-31,12311,Comm. & Industrial,26526.25414,43460.30263,11.30359312,19.66067425
2024-03-31,12311,Comm. & Industrial,25067.24465,39082.85016,10.32368856,18.14654155
2020-12-31,12311,Comm. Real Estate,11178,11178,7.82175357,7.82175357
2021-03-31,12311,Comm. Real Estate,47802.40138,46106.03134,11.68199277,11.49443923
2021-06-30,12311,Comm. Real Estate,14999.79253,17089.25525,12.64697043,12.69011279
2021-09-30,12311,Comm. Real Estate,28956.26792,32089.15374,15.57009089,15.95454476
2021-12-31,12311,Comm. Real Estate,18158.48692,21558.82946,17.08741483,17.83618089
2022-03-31,12311,Comm. Real Estate,22218.85649,26219.92731,18.31685547,19.48531346
2022-06-30,12311,Comm. Real Estate,18769.99739,23134.13469,20.07580491,21.69607037
2022-09-30,12311,Comm. Real Estate,19942.84042,24781.63534,21.84257114,23.95483203
2022-12-31,12311,Comm. Real Estate,18947.78762,22882.48631,20.86405642,23.36235429
2023-03-31,12311,Comm. Real Estate,19508.0528,22778.09762,21.52409365,24.33513021
2023-06-30,12311,Comm. Real Estate,19100.60489,22499.16688,18.39913741,21.70298648
2023-09-30,12311,Comm. Real Estate,19407.69088,22632.90398,18.67388121,22.06181075
2023-12-31,12311,Comm. Real Estate,19051.70851,22499.54663,17.51221231,20.900594
2024-03-31,12311,Comm. Real Estate,19089.60814,22316.43183,17.44546791,20.78588552
2020-12-31,12311,Jr Mortgage & HELOC,3092,3092,5.455681424,5.455681424
2021-03-31,12311,Jr Mortgage & HELOC,4584.571131,5590.979517,5.451927159,5.595323738
2021-06-30,12311,Jr Mortgage & HELOC,4700.720782,8494.775489,5.466557238,6.15984946
2021-09-30,12311,Jr Mortgage & HELOC,4875.137577,10509.27788,5.582912808,7.105835188
2021-12-31,12311,Jr Mortgage & HELOC,5094.716762,11793.45057,5.554625468,8.077192921
2022-03-31,12311,Jr Mortgage & HELOC,5370.288717,13088.26636,5.836235661,9.515591544
2022-06-30,12311,Jr Mortgage & HELOC,5618.44303,14278.13186,5.763529077,10.74527403
2022-09-30,12311,Jr Mortgage & HELOC,5777.979711,15254.48449,6.093179209,12.47164019
2022-12-31,12311,Jr Mortgage & HELOC,6053.040116,14659.35118,6.661746057,14.27141022
2023-03-31,12311,Jr Mortgage & HELOC,6473.385149,14068.50401,7.081929236,15.71605278
2023-06-30,12311,Jr Mortgage & HELOC,6762.848121,13680.11307,7.319400291,16.71273306
2023-09-30,12311,Jr Mortgage & HELOC,7084.796707,13143.92183,7.581150046,17.19698581
2023-12-31,12311,Jr Mortgage & HELOC,7098.812617,12686.53752,7.814687821,17.32185728
2024-03-31,12311,Jr Mortgage & HELOC,7158.243861,12004.67255,8.020938273,17.16936485
2020-12-31,12311,Credit Cards,5938,5938,164.0362118,164.0362118
2021-03-31,12311,Credit Cards,5223.785283,4949.490542,158.4993783,158.0568736
2021-06-30,12311,Credit Cards,4002.663869,3392.660086,148.6096571,147.1122422
2021-09-30,12311,Credit Cards,2873.790681,2038.962009,135.5495416,132.4832464
2021-12-31,12311,Credit Cards,1833.0606,808.8843557,116.7005068,111.56589
2022-03-31,12311,Credit Cards,927.1842129,0,94.96708188,87.21506305
2022-06-30,12311,Credit Cards,172.9470868,0,73.9741165,63.12202769
2022-09-30,12311,Credit Cards,0,0,56.99240018,42.49929078
2022-12-31,12311,Credit Cards,0,0,43.52664474,24.95270362
2023-03-31,12311,Credit Cards,0,0,29.46133941,6.337810077
2023-06-30,12311,Credit Cards,0,0,15.63574753,0
2023-09-30,12311,Credit Cards,0,0,3.741771682,0
2023-12-31,12311,Credit Cards,0,0,0,0
2024-03-31,12311,Credit Cards,0,0,0,0
2020-12-31,12946,Comm. & Industrial,698,698,61.33014456,61.33014456
2021-03-31,12946,Comm. & Industrial,497.0268529,221.772895,81.62558648,74.41519748
2021-06-30,12946,Comm. & Industrial,510.0964037,155.4151147,177.4945942,144.4647479
2021-09-30,12946,Comm. & Industrial,524.7489116,138.8899505,21536.85141,15623.94201
2021-12-31,12946,Comm. & Industrial,528.3809279,155.5206075,14247.2752,9397.234576
2022-03-31,12946,Comm. & Industrial,532.1498745,188.1632634,8120.167373,4085.836908
2022-06-30,12946,Comm. & Industrial,536.0386353,240.1644558,6452.174961,3078.407012
2022-09-30,12946,Comm. & Industrial,542.4401416,282.4490973,5488.336895,2633.693378
2022-12-31,12946,Comm. & Industrial,546.534298,328.8826046,4768.884438,2337.436511
2023-03-31,12946,Comm. & Industrial,550.7140359,371.021133,3700.799695,1616.167724
